version,t,l,m,r,n,v_m,v_a,v_m_e,v_a_e,e,a,simulation_runs,max_complexity,mean_complexity,has_phase_change,time_to_complexity
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,5754399373.371543,40290033.452169724,True,3000
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,4365158.322401665,189366.8665983317,True,449
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,251188643.1509572,3556448.8120994493,True,571
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,912010839.3559041,6048571.063369246,False,2708
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,1445439.770745928,19658.19551010967,True,516
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,9120108.393559115,112570.64572172098,True,664
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,144543977.0745928,923326.1211530167,False,2849
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,144543977.0745928,2762531.5258651865,True,1428
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,1000000.0,22131.69247678154,True,271
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0,10,5248074.602497734,139828.7019085045,True,253
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,3019951.720402019,39895.0432394816,True,574
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,2290867652.76777,12943970.28782008,False,3877
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,17378.00828749376,383.5634035274118,True,445
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,229086.76527677794,3983.3475497236936,True,284
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,301995172.04019946,5321275.380275835,False,865
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,2089296.1308540408,19800.60620185646,True,293
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,190546.0717963252,5029.133405335913,True,478
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,10000000000.0,80524179.82107213,False,2109
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,2511886.4315095823,70942.0365080329,True,600
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.2,10,144543977.0745928,4474632.708764642,True,981
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,1318256738.5563993,12478171.616985574,False,1651
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,2089296.1308540408,31803.730604263095,True,743
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,17378.00828749376,1668.7042699858623,True,479
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,14454.39770745928,459.23857058014113,True,234
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,3019951.720402019,55263.47187344774,True,782
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,1584893192.4611108,29019715.096373882,False,2769
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,30199.51720402019,829.641359129577,True,242
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,69183097.09189363,521027.78178106755,True,870
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,691830.9709189363,9221.632621733494,True,1729
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.4,10,398107.1705534969,3599.1343115691016,False,202
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,158489.31924611173,2874.5032384306023,False,3617
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,5754.399373371566,252.4592714878177,True,495
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,758.5775750291851,98.15759170139525,True,199
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,158489.31924611173,6145.660952002384,True,1776
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,2754.228703338163,97.13292228924423,True,194
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,30199.51720402019,869.4717007517105,True,954
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,630.9573444801943,26.261721836152393,True,397
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,6918.309709189362,340.8206354902949,True,755
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,17378.00828749376,542.2757831257875,True,588
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.6,10,758.5775750291851,31.120004674952426,True,705
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,912.0108393559116,49.6994830607468,True,1453
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,363.07805477010174,35.57677919800214,True,1363
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,630.9573444801943,36.69069639854346,True,757
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,22.908676527677702,3.0985443454239903,True,371
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,173.78008287493762,6.957058621419015,True,395
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,436.51583224016656,19.84689777587977,True,1231
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,57.543993733715666,5.9398375660735105,False,590
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,69.18309709189363,9.119334358735488,True,715
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,758.5775750291851,72.07161036064635,False,2654
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,0.8,10,3311.311214825908,174.4538121235482,False,2919
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0,1,10,1.0,1.0,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,8317637711.026674,177416985.29001334,True,740
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,3981071705.534953,21638173.974115517,True,1087
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,275422.87033381633,8725.051904138672,True,241
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,630957344480189.1,1606403692754.0295,True,2267
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,10964781.961431874,180947.26136995794,True,786
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,275422870333.8152,3824543879.7084975,False,736
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,1445439.770745928,29291.46791538178,True,301
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,3630780.5477010175,67474.29929927012,True,312
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,3019951720402.019,33442696246.682564,True,1549
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0,10,1737800.8287493763,36522.42406713247,True,664
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,131825673855.63994,796521303.1536118,False,2041
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,109647.81961431874,1859.5578805487103,True,217
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,1000000.0,10771.970701302354,True,1141
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,131825.673855641,3472.942815418624,True,322
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,575439.9373371566,6407.091508072432,False,337
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,7585775.750291851,201085.18712513696,True,828
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,158489.31924611173,3281.1498193485545,True,219
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,2511886.4315095823,57399.3150893018,True,503
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,398107.1705534969,8560.914800717834,True,1065
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.2,10,109647.81961431874,5259.513911240084,True,260
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,39810717.05534969,865923.0696813774,True,2219
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,10964781.961431874,355282.9668577556,True,794
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,109647.81961431874,1541.6116744940641,True,185
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,3630780.5477010175,127593.89244518637,False,1238
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,1905.4607179632521,101.98997630223916,True,203
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,43651.58322401666,1576.9661767616856,True,328
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,1000000.0,33991.535768832655,False,1609
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,36307.80547701017,1211.711042082059,True,583
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,52480.746024977336,1004.8698384842969,True,238
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.4,10,1445439.770745928,40884.43303072837,False,3373
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,1737800.8287493763,27635.733460551102,False,1507
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,10000.0,449.0986724733508,True,593
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,3311.311214825908,138.27393057749384,True,351
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,100.0,8.678436433979133,True,204
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,1584.8931924611175,59.303351766279306,True,1136
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,229086.76527677794,3109.8111870240764,True,1569
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,2754.228703338163,193.81526605999662,True,631
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,10000.0,305.9561016670145,True,465
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,398107.1705534969,15206.779648027426,True,1039
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.6,10,43651.58322401666,1449.6940900662917,True,1860
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,1584.8931924611175,52.86532453763182,True,1813
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,1318.25673855641,53.34354314341308,True,2039
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,436.51583224016656,37.639563416506924,False,3399
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,39.81071705534969,3.7943517868246714,True,362
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,57.543993733715666,4.454736489993217,True,436
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,69.18309709189363,3.6794067518209457,True,449
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,120.22644346174131,13.345700413863835,True,687
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,14454.39770745928,499.5605186677384,True,2323
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,630.9573444801943,46.54163960446452,False,2159
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,0.8,10,363.07805477010174,14.285659750646158,True,1190
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,2.089296130854041,1.0787655948505148,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,2.089296130854041,1.081175348442289,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,2.5118864315095824,1.0948617267885126,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,2.5118864315095824,1.1052842938858558,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,4.3651583224016655,1.128015544999888,False,686
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,2.5118864315095824,1.1131137220928504,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,3.6307805477010175,1.2145416119818184,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,2.5118864315095824,1.0661895502604335,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,3.019951720402019,1.0885256384428825,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.001,1,10,3.019951720402019,1.1232057098137034,False,
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0,10,7585775.750291851,186059.8065963387,True,438
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0,10,3019951720402.019,28793772203.8976,True,1442
0.01,5000,100,5,50,5,0.005,0,0.01,0.03,0.01,0,10,22908676.527677793,404867.82155304187,True,542
