t,l,m,r,n,v_m,v_a,v_m_e,v_a_e,a,e,seed,computation_time,version,max_complexity,mean_complexity,has_phase_change,time_to_chaos
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,1098390234,23.907979726791385,0.03,19054607.17963252,782360.7088560101,True,533.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,490474358,24.41161322593689,0.03,6309573.444801942,154763.7360648028,True,375.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,449597191,25.316458463668823,0.03,229086765276.777,1867737163.2964096,True,1126.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,971478365,25.03319621086121,0.03,208929613.0854041,2356647.455931447,True,1615.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,1012179464,22.96768069267273,0.03,2089296.1308540408,141851.63752820512,True,673.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,1164145059,25.42694616317749,0.03,1318256738.556399,15502261.801428096,True,843.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,1101719105,24.45208191871643,0.03,15848931.924611174,564941.3701563976,True,702.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,126057701,27.820821523666385,0.03,4786300923.22638,36443409.49901147,False,1532.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,1649155147,29.782521963119507,0.03,1318256738556399.2,14322856816011.314,True,2844.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.0,2008802170,43.4861056804657,0.03,208929613085404.1,3110691713970.3926,True,2166.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,1622141890,28.89090633392334,0.03,4365158.322401665,64060.402977353,True,234.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,642566324,29.88438081741333,0.03,6309573.444801942,143030.12892560216,True,374.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,630521598,31.60067343711853,0.03,131825673855.63994,2786364767.339632,True,417.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,1190194156,33.45694637298584,0.03,91201083935.5904,692927244.6369388,True,1106.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,358526178,31.831828355789185,0.03,1318256738.556399,14131417.165213836,False,675.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,1963897154,31.22394132614136,0.03,1318256738.556399,12000607.472111115,True,815.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,2140044238,37.1331000328064,0.03,208929613.0854041,5509353.763292466,True,501.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,1740766167,34.918225049972534,0.03,1096478196.1431828,16447548.854467386,True,1803.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,808255409,35.332329750061035,0.03,63095734448.01891,488240431.6893431,True,1593.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.2,525332944,34.803574562072754,0.03,10964781961431.828,101780052807.42468,True,1334.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,105412350,26.943167209625244,0.03,144543977.0745928,2365194.356081974,True,547.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,1538449410,19.93209552764893,0.03,4365158.322401665,99746.01407120784,True,584.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,1955046512,31.150728940963745,0.03,3311311214.825908,34804347.95676678,True,1262.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,1022155842,27.99518203735352,0.03,691830.9709189363,20134.978397656003,True,519.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,716070244,34.67647194862366,0.03,6309573.444801942,238612.99301233748,True,1089.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,495511516,25.42805004119873,0.03,19054607.17963252,825884.8094364486,True,690.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,1409739687,27.667391300201416,0.03,100000000.0,1083796.4474659194,True,577.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,909789009,30.630457878112797,0.03,39810717.05534969,372313.1013183746,True,511.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,1354156505,34.43325209617615,0.03,363078054.7701003,9703831.386555811,False,2334.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.0,32938343,40.45362520217896,0.03,173780082874936.9,1621454476014.211,True,2811.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,1227497844,28.568358421325684,0.03,2290867652.76777,13477473.293526188,True,436.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,1058844622,29.02798295021057,0.03,208929613.0854041,5335034.286366689,True,662.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,109018775,25.829083681106567,0.03,57543993.73371567,688385.3555194791,True,512.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,1697647988,30.42593240737915,0.03,363078054.7701003,3240432.866646684,True,375.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,1983819004,32.21919679641724,0.03,2511886431509.572,15926804074.62214,False,4876.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,2138025439,32.430185079574585,0.03,10000000000.0,46251695.26915202,False,1173.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,1792662261,29.702925205230716,0.03,100000000.0,2475383.6524610627,True,253.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,977494157,39.37234401702881,0.03,30199517204.02019,630292958.9885455,True,782.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,1793206978,30.024431467056274,0.03,524807460.2497712,6148182.105801679,True,687.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.2,1533586444,33.392183780670166,0.03,83176377110266.75,389589754538.52826,True,1945.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,462139796,12.809789896011353,0.03,831763.7711026708,35571.535336556415,True,315.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,1733620352,14.842825174331663,0.03,478630.092322638,12584.011991847636,True,384.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,55793633,15.880609035491943,0.03,75857.75750291851,1663.1314846920463,True,744.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,1158520765,16.93985915184021,0.03,398107.1705534969,8068.773005180549,True,349.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,780479984,20.19105172157288,0.03,1737800.8287493763,40559.40752246162,True,560.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,1889782897,23.422425746917725,0.03,13182567.385564102,353016.9781398776,True,1620.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,407854164,22.61748695373535,0.03,1445439.770745928,29225.76133803564,True,389.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,2119167034,32.476245641708374,0.03,436515832.24016297,8447825.16319361,False,1984.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,253979703,27.85806703567505,0.03,3019951.720402019,46300.44519488995,True,662.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.0,1050223101,27.71662259101868,0.03,229086.76527677797,9351.179656737728,True,915.0
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.2,1912240320,23.390865564346317,0.03,158489319246.11108,845718420.362322,True,1454.0
